,evals,quotes
438,1,сложный ледовый обстановка карагинский залив залив корф неделя не позволять подходить портпункт тиличики суд таирово тарава груз продовольствие борт это данный администрация муниципальный район пекарня садиться тиличики заканчиваться мука магазин возникать дефицит овощ фрукт молочный продукция заканчиваться продукт питание детский сад школа сказать хабаров
439,1,пресс-секретарь внешнеполитический ведомство пропаганда партия заявлять некоторые не подчиняться закон человек сфабриковать слух веб наказывать допускать распространение
440,2,побеждать выборы президент южный осетия бывший глава кгб республика леонид тибилов заявлять намерен приглашать свой команда соперник омбудсмен давид санакоев
441,0,явление совершенно обычный дальний восток оно вызывать циклон пустыня монголия частность гоби время буря пыль подниматься стратосфера циклон приходить дальний восток падать время дождь снегопад сказать собеседник агентство
442,0,несколько год назад из-за подобный песчаный буря приморье эффект голубой солнце происходить течение миллиард год пыль приносить образ монголия даже образовывать дальний восток особый слой лесс бурый глина отмечать собеседник
443,0,фонд призванный отбирать перспективный окупать проект реализация который хотеть принимать участие внешэкономбанк сказать президент республика вячеслав наговицын церемония подписание
444,2,наш подход рассматривать проект развитие территория комплекс узнавать проект являться локомотив проект который мочь реализовываться без поддержка государство фонд внешэкономбанк сказать
445,2,поддерживать отвечать хаматов актер евгений миронов вручать награда
446,2,мнение автолюбитель приходить утро суббота мрэо гибдд умвд россия приморский край не обнаруживать огромный змея очередник решение открытие дополнительный регистрационный окно являться своевременный мера снятие социальный напряженность искоренение незаконный промысел некоторые гражданин наживаться ажиотаж оформление транспортный средство
447,2,пожилой человек жить частный дом не состояние самостоятельно привозить дрова растопка печь однако это необходимо поэтому решать забота дрова взять более уборка кладбище оставаться сухой дерево ветка говорить командир десант павел гетман
448,0,кюрасао новый поправка мнение олег журавский приводить букмекерский бизнес россия постепенно оживать
449,1,почему-то передача телефон мнение следователь доказывать факт соучастие отец преступление
450,1,мнение представитель лига последний время бедный рефери обрушиваться поток критика нормально жить более обслуживать матч просто не мочь прессовать футболист болельщик еще журналист подходить ехидный вопрос интересоваться проходить игра
451,1,представитель министерство иностранный дело заявлять правительство не допускать повторение происходить январь время пребывание страна миссия наблюдатель лига арабский государство слово правительство вывести свой войско повстанец укреплять свой позиция взять свой контроль целый район город
452,1,главный оппозиционный группировка заявлять суббота погибать почти 130 человек основное мирный житель
453,0,завершение работа аэс бушера котор проводить русский эксперт контроль аэс полностью рука отечественный ученый подчеркивать
454,0,мнение аналитик многое участие выборы связанный основной интрига предстоящий голосование
455,1,именно мнение полиция искусственно создавать помеха ажиотаж привлекать клиент
456,1,мошенник умудряться вклиниваться даже сайт госуслуга который являться удобный альтернатива живой очередь интернет осуществление любой регистрационный действие автомобиль записываться без посредник однако показывать анализ заявка сайт половина поступать группа товарищ стабильно состоять 20 человек сообщать пресс-служба краевой УВМД
457,2,прирост погрузка обеспечивать основное счет уголь начинать год погружать 5 миллион тонна 15 период прошлое год сохраняться тенденция рост погрузка отношение 2011 год черный металл погружать 218 тысяча тонна это 14 цемент погружать 129 тысяча тонна 11 говориться сообщение
458,1,причина позиция сирийский власть который не хотеть мирный урегулирование мнение противник президент башар асад делать ставка силовой решение 2 апрель сообщать дамаск давать свое согласие реализация план сирийский урегулирование начинаться не поздно 10 апрель
459,1,мнение наблюдатель это ставить мирный план оон угроза срыв франция коммюнике осуждать продолжение убийство сторона сирийский режим жертва который последний день становиться десяток мирный житель . сирийский вооруженный оппозиция заявлять свой сторона давать свое слово прекращать огонь правительственный сила предпринимать аналогичный шаг посол сирия риад хаддад интервью заявлять хотеть обращать внимание сирия подвергаться международный терроризм который принимать участие международный сила
460,1,говорить формироваться оппозиционный армия выплачиваться деньги зарплата это сила это позволять называть армия наемник кроме видеть признание сша сирия находиться около 13 террористический организация являться ячейка аль-каида это признание сша сказать хаддад сирия более год не прекращаться антиправительственный протест
461,2,данный землетрясение территория область не ощущаться жертва разрушение угроза возникновение цунами нет подчеркивать ДВРЦ
462,1,действие омар сулейман сторонник рассматривать оскорбление революция египетский народ заявлять шатер
463,1,омар сулейман сделать большой ошибка выигрывать только путем фальсификация это случаться революция начинаться снова добавлять шатер
464,1,думать гораздо плохо реальность сказать глава россотрудничество
465,1,просто закрывать путь это некачественный сыр какой-то вид продовольствие не объяснять называться палец простой обыватель подчеркивать не специалист именно обыватель это не политика элементарный защита рынок некачественный продукция дополнительно не осуществлять информационный сопровождение наш действие суть правильный адекватный действие глаз обыватель интерпретироваться ложный образ дискредитироваться сказать косачев
467,1,многие наблюдатель встреча наш оппозиционер число внесистемный распахнуть изумление глаз говорить нигде не видеть иностранец поливать грязь свой страна дискредитация наш выбор дискредитация наш политический система становиться инструмент политический борьба это плохо это переход красный линия это бремя который предстоять жить предстоящий год считать косачев
468,1,эксперт устанавливать личность женщина вместе находить документ однако интерес следствие не раскрывать возраст имя сказать римский
470,0,тушение пожар привлекать 117 человек 79 единица техника уточняться сообщение
471,1,сей пора жить практически улица ночевать машина жена знакомый это время обращаться известный инстанция но везде идти либо отказ либо просто игнорировать бояться обращаться какой-либо ведомство ведь нигде не принимать комментировать ситуация вадим филиппов
472,2,книга посвящать известный футбольный комментатор котэ махарадзе издание уникальный ведь подобный словарь это еще не это хороший подарок украинец накануне евро поскольку футбольный английский смочь изучать даже человек который не владеть латинский алфавит отмечать м
473,0,зима необходимо рассматривать возможность внедрение новый технология утилизация боеприпас число безвзрывной способ житель город необходимо обеспечивать спокойствие гарантировать безопасность приводить пресс-служба облправительство слово первый вица губернатор иван хоменко
474,0,поручение губернатор регион создавать рабочий группа оценка ущерб причинять прошедший мощный циклон мэр муниципальный образование должный 7 апрель представлять данные ущерб понедельник рабочий группа подводить итог общий ущерб регион определять необходимый финансовый помощь муниципалитет сообщать понедельник пресс-конференция министр энергетик жкх георгий митрик
475,1,но понятно наиболее сильно циклон пострадать южно-сахалинск углегорский холмский район южно-сахалинск предварительный данный ущерб составлять более 100 млн рубль углегорский холмский район более 60 млн рубль каждый муниципальный образование остальной район область ущерб исчисляться 1 млн 2 млн рубль добавлять
476,1,циклон давно не ветер достигать ураганный значение более 40 м аварийный работа планировать завершать сегодня отмечать министр
477,1,выпадать огромный количество осадки повалить опора лэп ремонтный бригада сахалинэнерго туда очень сложно добираться пробивать дорога это объект требоваться время поэтому добираться туда только вездеход пояснять министр
481,0,аллан пейси эксперт мужской фертильность шеффилдский университет заявлять расчет вполне правдоподобный здоровый мужчина сдавать генетический материал 50 год
482,2,ученик 9 класс тигильский район камчатский край сергей яганов брат алексей яганов присваивать государственный награда спасение человеческий жизнь смелость самоотверженность проявлять чрезвычайный ситуация сообщать руководитель агентство вопрос местный самоуправление камчатский край сергей лебедев
483,2,звезда признаваться время беременность думать кроха вылитый старший сестра трехлетний онор
484,1,продолжать действовать 14 очаг 93 га лес говориться сообщение
485,1,депутат становиться жаловаться рабочий место зал мало место поскольку каждый установленный монитор флажок партийный символика мешать перекрывать лицо депутат вообще флажок зал очень пестро сказать габдрахман
486,1,дакота говорить мечта педофил слишком детская внешность давать поле фантазия разный род извращенец поклонник японский хентай считать блогер
487,1,источник пожар находиться подвал жилец дома оперативно эвакуировать сказать собеседник агентство
488,0,день проводиться особый богослужение связанный последний евангельский событие например четверг проводиться причастие пятница читаться умилительный песнопение страстный евангелие рассказывать корреспондент ИА Приморье24 кандидат богословие благочестивый покровский кафедральный собор игумен тихон иршенко
489,0,первый – важно избегать увеселение второй – пустой разговор нужно ограничивать пища – должный постный простой добавлять собеседник агентство
490,1,заявление прозвучать воскресение официальный представитель сирийский мид джихад макдеси заявлять сирийский власть не начинать вывод правительственный войско город пора пока не получать оппозиция письменный гарантия прекращение огонь
491,1,аннан воскресение заявлять шокировать сообщение новый случай насилие сирия
493,1,отстранять должность командующий ввс мухаммед салех аль указ президент не признавать заявлять по-прежнему оставаться свой пост
494,1,материал уголовный дело направлять прокуратура республика объем уголовный дело составлять тома время следствие порунов ни не давать показание существо обвинение сказать павина
495,2,наш борьба только усиливаться наш сторона переходить человек приводить слово маркес РБК
496,0,явление совершенно обычный дальний восток оно вызывать циклон пустыня монголия частность гоби время буря пыль подниматься стратосфера циклон приходить дальний восток падать время дождь снегопад цитировать агентство риа новость председатель координационный совет экологический проблема приморский край заслуживать эколог россия борис преображенский
497,2,мнение президент рф заключение контракт студент бюджетник потенциальный работодатель должно помогать решать проблема не только нехватка специалист но обеспечивать трудоустройство выпускник высокий учебный заведение
498,0,общий показатель инфляция март согласоваться ранее опубликовывать недельный данные полагать темп рост потребительский цена оставаться примерно текущий уровень год должный начинать расти частность влияние запланировать июль повышение регулируемый тариф наш прогноз инфляция итог 2012 г составлять 7 прогнозировать аналитик втб эксперт отмечать взгляд совет директор банка россия заседание который состояться будущий неделя скоро оставлять без изменение ключевой процентный ставка учитывать наблюдать восстановление темп рост экономика риск ускорение инфляция второй полугодие 2012 год
499,1,отношение наиболее злостный неплательщик умышленно оставлять свой работник без средство существование 2012 год дальний восток возбуждать восемь уголовный дело период 12 дело направлять суд суд вынести обвинительный приговор говориться сообщение
500,1,обследование выявлять скотомогильник разнообразный патогенный микроорганизм это 2011 год край зафиксировать факт падеж продуктивный непродуктивный животный неизвестный этиология труп животный выбрасываться свалка программа призывать решать проблема реализация позволять создавать система утилизация биологический отход соответствующий современный ветеринарный санитарный требование сказать сотрудник пресс-служба
501,2,это уникальный комплекс мир придумывать новое выращивание экологически чистый растение точка зрение экология запускать первый очередь готовить документ второй очередь это год начинать строить следующий год планировать построить домик сказать
502,2,томск серьезный проблема поставка овощ девять месяц год смочь обеспечивать супермаркет наш продукция сказать шанин передавать риа новость
503,1,первый февраль 2012 год официальный представитель ск рф владимир маркин заявлять дело переквалифицировать обвиняемый предъявлять новое обвинение статья 216 ук рф нарушение правило безопасность ведение горный строительный иной работа повлечь неосторожность смерть более лицо
504,1,это делать поддерживать вместо хаматова восклицать миронов ксюша давать не сегодня кинематографический праздник кино сказать лишь чулпан хаматова
505,2,лобак напоминать круглосуточный служба телефон доверие создавать регион год назад инициатива губернатор дмитрий мезенцев преддверие заседание президиум госсовет который проходить иркутск председательство президент рф дмитрий медведев
506,2,мнение юрий липатова это говорить прежде цивилизованный мир идти сторона возобновлять энергия особенно страна близко располагать экватор
507,1,вместе заместитель министр энергетик россия юрий сентюрин заявлять страна пока не готовый сделать зеленый энергетика свой приоритет
508,1,мальчик задерживать признаваться виновный пять поджог
509,1,хорошо мудрый задний число но разрешение нынешний финансовый кризис ес многое осложнять изначальный ошибка формирование еврозона считать олль рен
510,1,не называть имя не оценивать ничей действие но греция 2001 год позволять присоединяться еврозона выясняться впоследствии большой ошибка заявлять еврокомиссар
511,1,второй возможно еще более драматический ошибка мнение рен сделать планирование еврозона
513,0,суд гонконг принимать решение продажа судно болгарский судовладелец не выходить связь не отвечать ни письмо ни звонок теплоход сахалин лот выставлять аукцион начало май это компания еще время рассчитываться долг вернуть судно сказать собеседник агентство
514,2,но любой случай моряк обеспечивать необходимый топливо еда вода целое порядок добавлять собеседник
515,0,возведение сооружение затрачивать 196 млн рубль число счет средство федеральный бюджет 101 млн рубль бюджет республика 46 млн рубль счет средство оао республиканский инвестиционный компания 48 млн рубль говориться сообщение
516,1,ситуация страна оставаться шаткий непредсказуемый говориться заявление дипломатия евросоюз кэтрин эштон приветствовать усилие экономический сообщество страна западный африка эковас урегулирование кризис мали 22 март происходить военный переворот сообщать пресс-служба эштон
517,2,согласно оперативный данный грузооборот порт март 2012 год вырастать сравнение март 2011 год 12 составлять около 1 миллион тонна груз первый квартал 2012 год компания обрабатывать 4 миллион тонна груз 12 показатель прошлое год говориться сообщение
518,2,корабль самолет должный плавать летать собирать умелый квалифицированный рабочий не окроплять святой вода обладатель час стоящий десяток тысяча доллар фраза сказать иноземцев съезд правый дело сорвать шквал аплодисменты
519,2,приморский край тихоокеанский флот неразрывный связанный друг друг поэтому праздник праздник приморье житель сказать губернатор сегодня мирный время военный летчик охранять покой мирный гражданин желать удача чистый небо отмечать миклушевский
520,2,президент федерация санный спорт россия леонид гарт заявлять появление санный трасса сочи не поставлять крест развитие трасса парамонов
521,2,штраф выплачивать полностью это сегодня сообщать пресс-служба сахалинский пограничный управление береговой охрана фсб рф
522,2,Iberia Express целиком принадлежать авиакомпания Iberia 25 март начинать выполнять рейс ближний средний расстояние мнение руководство позволять условие кризис ежегодно экономить 100 млн евро успешно конкурировать европейский рынок авиаперевозчик
523,1,это источник минобороны заявлять минфин урезать наполовину запрашивать министр объем дополнительный финансирование угроза оказываться поручение президент велеть решать жилищный вопрос военный 2014г
524,1,албарн также заявлять вряд продолжать существование проект группа Gorillaz
525,1,воскресение завершать работа восстановление энергоснабжение но сегодня ночь получать порядок 120 заявка частное сектор южно-сахалинск считать отрабатывать но видимо либо заявка поступать поздно либо какой-то оказываться утрачивать понедельник 15 устранять сказать
526,1,масштаб катаклизм являться ряд вон выходить даже страна сша япония сахалин жить 5 млн человек 1 млн точно попадать список пострадавший заявлять
527,1,проектирование здание сооружение число объект энергетик учитываться районный климатический условие который нормироваться конкретный участок территория южно-сахалинск это 4 район максимальный нормативный скорость ветер 32 м метеозапись показывать ход прошедшее циклон скорость ветер областной центр достигать более 40 м открытый участок доходить 50 м это определять большой объем отключение констатировать
529,2,не жестко завязнуть энергообеспечение котельная любой цена это позволять более гибко меньший напряжение планировать работа восстановление образ смог избегать серьезный последствие коммунальный комплекс заключать
530,1,живой помогать никто не полностью прекращаться схватка слеза глаз вспоминать шилова привлекать внимание врач удаваться лишь помощь деньги
531,1,заиграть музыка убивать лодочник становиться дико рожать музыка популярный год песня группа профессор лебединский звучать палата беспрерывный несколько час подряд
532,1,это шок почему не поставлять бетховен чайковский почему должный рожать страшный песня спрашивать юлия шилова
533,0,напоминать ранее министр оборона рф анатолий сердюк заявлять не продолжать работа новый правительство который вероятно возглавлять президент дмитрий медведев
534,1,также согласно опрос РБК сердюк входить топ самый нелюбимый министр мнение россиянин
535,1,хороший шанс подготавливаться более тщательно но менее матч послужить тестовый чемпионат хотя задача выигрывать суперкубок сказать закиров
536,2,мнение главный тренер дордой сергей дворянкова победа первый игра позволять бишкекчанин построить тактика который применять первый раунд оборона второй играть наступательный футбол
537,2,двухраундовый дуэль давать возможность играть по-другому замена сделать второй тайм приносить победа отмечать тренер
539,2,артист поздравлять ника 25 юбилей заявлять делить награда член съемочный группа особенно экранный родитель богдан ступка лариса малевать
540,2,ввод эксплуатация новый ледовый площадка позволять создавать совершенно иной условие тренировочный процесс отмечать глава регион
541,1,свой обеспокоенность виктор янукович выражать сразу 4 апрель встречаться французский журналист приезжать украина ознакомляться ход подготовка евро господин янукович заявлять государство основание обращаться владелец гостиница получать налоговый льгота пять год период проведение чемпионат устанавливать адекватный цена проживание
542,0,суббота министр энергетик угольный промышленность юрий бойко заявлять инициировать введение обязательный содержание бензин не менее 5 биоэтанол
543,1,мнение ассоциация решение утверждение условие конкурс не проходить необходимый процедура общественный обсуждение условие не содержать четкий критерий который определять победитель
544,1,мнение футболист тренер столичный команда шахтер добиваться победа несправедливо якобы вследствие ошибочный удаление полузащитник денис гармаш 42 минута
545,1,начало собрание председатель кгга заявлять поступок переступать граница дозволенный
547,1,допрашивать свидетель который прямо заявлять 2005 год находиться территория сша сделать заявление специально уполномоченный орган юлия тимошенко павел лазаренко сговор совершать преступление территория украина число заказывать убийство
548,1,пятница генеральный директор кинопрокатный компания B & Film Distribution богдан батруха заявлять государственный налоговый служба ГНС блокировать работа предприятие
549,1,директор кинопрокатный компания B & богдан батруха пятница заявлять накануне налоговик практически одновременно начинать обыск офис пять компания заниматься дистрибуция прокат дубляж фильм украинский язык B & ооо кинопалац синема Le Doyen кино экспресс
550,1,мнение господин батруха причина налоговый спор лежать плоскость бизнес год украина дублироваться украинский язык около 160 фильм 40 который делаться благодаря B & разумеется хотеть выводить игра
551,2,впрочем мнение эксперт нарабатывать изменение который хотеть принимать год учитывать 95 замечание
552,1,внедорожник сталкиваться автобус ударять правый часть автобус выезжать встречный полоса газон затем совершать наезд дерево результат дтп пострадать пассажир автобус женщина 82 год сказать собеседник агентство
553,1,распространение слух интернет становиться серьезный общественный проблема который вредить интерес народ подрывать государственный безопасность социальный стабильность говориться заявление распространять воскресение интернет ассоциация китай
554,2,американка серена уильямс обыгрывать чешка люся сафаров финал турнир чарльстон 6 6 заявлять никогда прежде не показывать стабильный игра
555,0,владимир спрашивать мать человек церковь заявлять пойти служба
556,1,командующий называть свободный сирийский армия рияд аль обвинять президент сирия башар асад не исполнять свой обещание претворение жизнь мирный план спецпосланник оон лига арабский государство сирия кофи аннан заявлять достигнутый договоренность обрекать провал
557,2,однако представитель свободный сирийский армия полковник гассем саад аль заявлять повстанец намерен соблюдать режим прекращение огонь который должно вступать сила 12 апрель
558,0,нога верблюд отличие лошадь не приспособлять передвижение лед животное не скользить прямо путь придумывать обувь обматывать нога овчина войлок тряпье шить калоша шкура брезент караван вовсе не мочь двигаться класть нога шуба куртка ветка дерево доска рассказывать журналист лувсан
559,0,ранее 6 апрель эфир русский служба новость шойгу заявлять вносить рассмотрение руководство рф несколько предложение кандидатура пост глава мчс
561,2,первый квартал 2012 год владивостокский автозавод увеличивать производство внедорожник SsangYong 6 тысяча единица составлять 65 сравнение аналогичный период прошлое год время 2011 год выпускать 4 тысяча автомобиль рассказывать собеседница агентство
562,2,европейский сообщество заинтересовывать сохранять уникальный природный ресурс белоруссия прокомментировать первый секретарь белорусский республиканский союз молодежь перспектива привлечение данный грант
563,0,соперник назаров президентский список лидер омский единоросс александр артемов заявлять партиец поддерживать решение президент проголосовать назаров
564,2,именно обстоятельство обоюдно сказать палящий солнце мнение екатерина андрей становиться решать путь семейный счастие
565,1,мнение пресс-секретарь премьера дмитрий песков говорить переезд чиновник преждевременно даже неуместно
566,0,территория не осваивать 10 год нужно минимум год 20 говорить закревский
567,2,время избирательный кампания должный представитель власть создавать равный условие представитель политический партия не нарекание использоваться административный ресурс поддержка иной политический партия подчеркивать янукович который цитировать пресс-служба президент украина
568,2,это обеспечивать высокий уровень подчеркивать янукович
569,2,удаваться сохранять стабильность дальнейший правительство парламент президент работать единый связка успех резюмировать
570,2,должный помнить прозрачный демократический выборы это лицо ответственность не только политический партия но власть подчеркивать глава государство обращаться присутствующий
571,2,договариваться начинать переговоры 14 апрель стамбул сказать выражать надежда завершение достигать конкретный результат . давно выражать готовность организовывать очередной раунд консультация иран шестерка
